losses_kw,losses_kvar,min_voltage_pu,max_voltage_pu,avg_voltage_pu,Hour,LoadMultiplier
272099.909604426,410705.9102251929,0.14975731403484227,1.265666055156436,0.7305004585649929,0.0,0.65
272099.0181456057,410710.1579585669,0.14975369983722825,1.2656611422518116,0.730496540771557,1.0,0.6
272098.66155924945,410711.85702440643,0.14975225419928098,1.2656591770872934,0.7304949736633035,2.0,0.58
272098.3049713043,410713.5560744845,0.14975080858482176,1.2656572119212912,0.7304934065602862,3.0,0.56
272098.1266767163,410714.4055936361,0.14975008578639581,1.2656562293377407,0.7304926230107418,4.0,0.55
272098.48326547,410712.7065514202,0.14975153138910907,1.2656581945044665,0.7304941901111273,5.0,0.57
272099.3747303398,410708.4588770228,0.14975514549865787,1.2656631074147877,0.7304981078850132,6.0,0.62
272101.15762989066,410699.96323325834,0.14976237415809804,1.265672933207237,0.7305059435307404,7.0,0.72
272103.4753391421,410688.9183084241,0.14977177229307423,1.2656857066811533,0.730516130065423,8.0,0.85
272105.258146123,410680.42176007264,0.1497790023027577,1.2656955323871117,0.7305239660115507,9.0,0.95
272105.79298036825,410677.87271888147,0.149781171420134,1.2656984800915405,0.7305263168208428,10.0,0.98
272106.14953451965,410676.1733384113,0.14978261752773014,1.2657004452260017,0.7305278840336019,11.0,1.0
272105.9712576432,410677.0230306224,0.1497818944710051,1.2656994626589155,0.7305271004265436,12.0,0.99
272105.6147026903,410678.7224032167,0.1497804483751381,1.265697497523782,0.730525533216442,13.0,0.97
272105.258146123,410680.42176007264,0.1497790023027577,1.2656955323871117,0.7305239660115507,14.0,0.95
272104.90158794535,410682.1211012229,0.14977755625386496,1.2656935672488936,0.7305223988118523,15.0,0.93
272105.0798672358,410681.2714326155,0.1497782792753818,1.2656945498182124,0.730523182411061,16.0,0.94
272105.79298036825,410677.87271888147,0.149781171420134,1.2656984800915405,0.7305263168208428,17.0,0.98
272106.14953451965,410676.1733384113,0.14978261752773014,1.2657004452260017,0.7305278840336019,18.0,1.0
272105.6147026903,410678.7224032167,0.1497804483751381,1.265697497523782,0.730525533216442,19.0,0.97
272104.7233082614,410682.97076587606,0.1497768332382053,1.2656925846792952,0.7305216152140087,20.0,0.92
272103.4753391421,410688.9183084241,0.14977177229307423,1.2656857066811533,0.730516130065423,21.0,0.85
272101.69249190163,410697.41446345585,0.14976454287041077,1.2656758809376092,0.7305082942499103,22.0,0.75
272100.4444749005,410703.36153795826,0.149759482623866,1.2656690028947573,0.7305028092567685,23.0,0.68
